Name,Ingredients,Direction
Brown Rice and Lentil Casserole,"['3   cups    chicken broth or 3   cups    vegetable broth', '3/4  cup    lentils', '1/2  cup    brown rice', '3/4  cup   chopped onion', '1   teaspoon    italian seasoning', '1/4  teaspoon    garlic powder (I use more)', '1   cup   grated cheese (cheddar or a blend is preferable)']","['Preheat the oven to 300 degrees.', 'Mix all ingredients except the cheese in a baking dish (I use an 11 x 7).', 'Cover with foil and bake for 1 hour 10 minutes.', 'Then remove the foil, add the cheese, and bake for an additional 20 minutes.']"
Bachelor's Skillet,"['2      polish kielbasa', '1   can    beer', '  garlic salt or   garlic powder', '  butter', ' shredded cheddar cheese']","['First, cut the keilbasa into 1/2 inch thick medalions.', 'Heat a medium sized skillet to medium to medium high heat and melt enough butter to just cover the bottom.', 'Add the keilbasa and garlic.', 'Once the keilbasa starts to brown on one side, add enough beer to just cover the bottom.', 'Turn the keilbasa and cook on the other side.', 'Now it becomes a matter of personal taste and trial and error.', 'I keep adding beer and garlic to taste, the thing you are really looking for is for the beer/butter/garic to caramalize.', 'When done, transfer to a plate and sprinkle with the cheese.', 'Drink the rest of the beer with your meal.']"
Wonderful Salsa,"['8   cups    tomatoes, peeled, chopped and drained ', '2 1/2  cups    onions, chopped ', '1 1/2  cups    green peppers', '1   cup    jalapeno pepper, chopped ', '6       garlic cloves, minced ', '2   teaspoons    cumin', '2   teaspoons    pepper', '1/8  cup    canning salt', '1/3  cup    sugar', '1/3  cup    vinegar', '1 (15   ounce) can   tomato sauce', '1 (12   ounce) can   tomato paste']","['Mix all together and bring to a slow boil for 10 minute.', 'Seal in jars and cook in hot water bath for 10 minute.', 'This is a medium salsa. This is also a chunky salsa so if you want a smoother salsa cut your veggies into smaller pieces.', 'Yields 3-6 quarts or pints.']"
Grilled Beer Chicken,"['8       chicken breasts or 8      cut up chicken parts', '1/3  cup    butter, melted ', '1 1/2  cups    lemon juice', '1   can    beer', '1   teaspoon    garlic salt or 2 -3   cloves   minced fresh garlic', '1   teaspoon    lemon pepper']","['Combine butter, beer, lemon juice, garlic and lemon pepper.', 'Pour over chicken pieces, and cover; store in refrigerater 4-6 hours to marinate.', 'On a grill, barbecue pieces, brushing sauce over chicken as you turn them.', 'Grill about 15-20 mins per side.']"
"Blueberry Pancakes, Milk-free, Egg-free","['1   cup    white flour', '3   tablespoons    white sugar', '2 1/4  teaspoons    baking powder', '1/4  teaspoon    salt', '2 1/2  tablespoons    margarine', '3/4  cup    water', '1       eggs or 2   tablespoons    water', '1/2  cup    fresh blueberries or 1/2  cup    frozen blueberries']","['Sift flour, sugar, baking powder, and salt together into medium mixing bowl.', 'Melt 2 1/2 Tbsp margarine in frying pan until melted; Be sure to tip the pan side to side to coat/grease all over.', 'Pour melted margarine in a small bowl, add water and egg (if you want to add egg); Mix well.', 'Mix blueberries with dry ingredients, just before adding the liquids.', 'Stir liquid mixture into the dry ingredients until it is thoroughly moistened; It is OK if this batter is lumpy.', 'Cook the pancakes over medium-high heat on the stove-top (or 375F on electric frying pans); Cook pancakes until the tops are bubbly and the bottoms browned; Turn the pancakes over to cook other side (Approxiamtely four minutes per side).', 'Serve hot with margarine, honey, brown sugar or maple syrup.', 'Actual cooking time will depend on the size of the pan you are using; I have a small frying pan, so I have to do these individually; My mom has a griddle large enough to cook them all at once.']"
Best Broccoli Salad,"['1   bunch    broccoli (tops only, broken into small pieces)', '1/2  cup    raisins', '1   cup    sunflower seeds', '1   small    onion, chopped  (or less)', '1   lb    bacon, fried crisp and crumbled ', '1   cup    mayonnaise', '1/2  cup    sugar', '2   tablespoons    apple cider vinegar']","['Combine all the salad ingredients, tossing well to mix.', 'Mix the dressing ingredients together then toss with the salad mix.', 'Let stand at least 1 hour in the refrigerator (can be made the day before).']"
Lazy Day Oatmeal Cake,"['1   cup   uncooked rolled oats (instant or regular, I used rolled oats)', '1 1/4  cups    boiling water', '1/2  cup    butter or 1/2  cup    margarine', '1   cup   granulated sugar', '1   teaspoon    vanilla', '2       eggs', '1 1/2  cups    flour', '1   teaspoon    baking soda', '1/2  teaspoon    salt', '3/4  teaspoon    cinnamon', '1/4  teaspoon    nutmeg', '1/4  cup    butter or 1/4  cup    margarine, melted ', '1/2  cup    brown sugar', '3   tablespoons    cream or 3   tablespoons    milk', '3/4  cup   flaked coconut', '1/3  cup   chopped nuts (optional)']","['In a shallow bowl soak oats in boiling water for 20 minutes.', 'Meanwhile proceed by measuring butter and sugars into beater bowl and beating until light.', 'Beat in eggs and vanilla.', 'Sift and measure flour, sifting again with the soda and spices.', 'By this time the oats will be soaked and cool.', 'Remove beaters from creamed mixture and fold in soaked oats.', 'Sift flour mixture over and fold in.', 'Turn in a buttered 9x9"" pan and bake at 350&deg;F for 40-50 minutes .', 'Mix all the topping ingredients.', 'Do not remove cake from pan but while still hot spread topping over and put under the broiler until bubbly and tinged with gold.', 'Watch carefully.']"
Sweet Hawaiian Yeast Bread (bread Machine),"['3/4  cup    pineapple juice', '1       egg', '2   tablespoons    vegetable oil', '2 1/2  tablespoons    honey', '3/4  teaspoon    salt', '3   cups    bread flour', '2   tablespoons    dry milk', '2   teaspoons    fast rising yeast or 2   teaspoons    quick-rising yeast']","['Place ingredients in bread machine container in order directed by manufacturer.', 'Cycle: white, sweet, no timer.', 'Setting: light.']"
Butter Chicken,"['1   ounce    butter', '1       onion, chopped ', '1       garlic clove, crushed ', '2   large    boneless chicken breasts', '1   teaspoon    ginger', '1   teaspoon    chili powder', '1   teaspoon    turmeric', '1   teaspoon    cinnamon', '1   teaspoon    salt', '3/4  cup    fresh cream', '1   tablespoon    tomato paste', '1/2  teaspoon    garam masala']","['Saute onion and garlic in butter.', 'Slice chicken breasts into bite sized pieces.', 'Combine spices and salt and toss chicken pieces until well coated.', 'Saute the chicken each side until golden brown.', 'Stir in the cream and tomato paste.', 'Cover pan and simmer for about 10 minutes until cooked through.', 'Sprinkle with garam masala.']"
Meatball Bubble Biscuits,"['1 (16 1/3  ounce) can   ready-to-bake refrigerated buttermilk flaky biscuits (or other LAYER biscuits)', '8      frozen cooked italian meatballs, thawed, each cut in half ', '3   ounces    mozzarella string cheese, each cut into 6 pieces ', '1   tablespoon   grated parmesan cheese', '1/2  teaspoon    dried Italian seasoning', '1/4  teaspoon    garlic powder', '1   cup    marinara sauce, heated ']","['Heat oven to 375&deg;F.', 'Separate dough into 8 biscuits.', 'Separate each biscuit into 2 layers.', 'Press each biscuit layer to form a 3-inch round.', 'Place 1 meatball half, cut side up, and 1 string cheese piece in center of each dough round.', 'Wrap dough around meatball and cheese, pressing edges to seal.', 'Place seam side down in single layer in ungreased 8 or 9-inch round cake pan.', 'Sprinkle evenly with Parmesan cheese, Italian seasoning and garlic powder.', 'Bake at 375&deg;F for 20 to 25 minutes or until golden brown and biscuits are no longer doughy in center.', 'Remove from pan.', 'Serve warm biscuits with warm marinara sauce for dipping.']"
"Pulled Pork BBQ,  BBQ Rub, and BBQ Sauce","['2 -6   lbs    pork butt', '1   cup    brown sugar', '2   tablespoons    garlic salt', '2   tablespoons    onion powder or 1   tablespoon    onion salt', '2   tablespoons    dry mustard', '3   teaspoons    cayenne pepper (or Less if you like)', '2   teaspoons    black pepper', '2   teaspoons    salt', '1   cup    brown sugar', '1   cup    ketchup', '1/2  cup    tomato sauce', '1   cup    molasses', '1/2  cup    A.1. Original Sauce', '1/4  cup    Worcestershire sauce', '2   teaspoons    hot sauce', '2   teaspoons    lemon juice']","['Place Dry rub ingredients in a large Ziplock Bag and mix well.', 'Rinse Pork Buttes and sprinkle heavily with the Dry Rub,&amp; using a Knife, poke some holes over entire surface of the Pork.', 'Make sure Buttes are well coated with the rub.', 'Place in a large container covered with saran wrap and refrigerate Buttes for 8 hours or over night.', ""Add all the Sauce ingredients in a sauce pan and bring to a boil, stirring constantly so it doesn't stick."", 'Let sauce cool and either pour into a Quart jar or some kind of seal able container.', 'This Sauce will Keep at least 6 Months if kept sealed and in the fridge.', '8 hours later or the next day, Preheat oven to 300 degrees.', 'Place Butts in the oven uncovered for 6 hours.  Test to see if the Pork pulls apart after 6 hours.  If not, continue cooking until it does.', 'Pork will be dark and crusty on the outside.', 'Inside will be moist and delicious.', 'After the Pork is Pulled, Pour your Sauce over it and mix well.', 'This makes a lot of BBQ and I usually Freeze Half.', 'Freeze up to 6 months.', 'Serve BBQ on a Bun or just eat it with a fork!', 'Enjoy!']"
Addicting Red Lobster Cheddar Bay Biscuit,"['2   cups    Bisquick baking mix', '1/2  cup   cold water', '3/4  cup   shredded sharp cheddar cheese', '1/4  cup    butter', '1   teaspoon    dried parsley', '1/2  teaspoon    garlic powder', '1/2  teaspoon    italian seasoning']","['Heat oven to 450.', 'Combine baking mix, water and grated cheese in a bowl.', 'Roll out on a lightly floured surface, until 1 inch thick.', 'Cut biscuits, and place on an ungreased pan.', 'Melt butter and spices together.', 'Brush the biscuits with the butter and bake for 8 to 10 minutes.']"
Great New England Clam Chowder,"['2   cups    russet potatoes (peeled and cubed 1/2-inch x 1/2-inch pieces)', '1   cup    butter', '2   tablespoons   diced green onions (bulb only)', '1/4  cup    flour', '2 (6 1/2  ounce) cans   minced clams (with juice)', '1   teaspoon    salt (or to taste)', '1   teaspoon    black pepper', '1   teaspoon    garlic', '12   ounces    half-and-half', '1/2  cup    whole milk', '1/3  cup    clam juice', '  fresh parsley (minced for garnish)']","['Place potatoes in saucepan and cover with water, cook on medium heat until tender.', 'Remove potatoes from heat, drain and set aside.', 'In 2 quart saucepan on medium low heat melt butter, add diced onions, cook until onions are slightly clear in color.', 'Add flour to butter and stir briskly.', 'Mixture will start to thicken.', 'Add half and half a little at a time while stirring briskly.', 'Mixture will be creamy and will look like thick cream.', 'Place salt, clams and juice, potatoes, bottled clam juice and milk with mixture.', 'On medium low temperature bring chowder to a slow boil.', 'Turn temperature down to low and let chowder simmer gently for 15 minutes, stirring frequently.']"
Easy Cherry Delight Dessert (No-Bake),"['1 3/4  cups   crushed graham cracker crumbs', '1/3  cup    sugar', '1/4  cup   melted butter', '2   cups   whipped dream whipped topping (1 envelope)', '1/2  teaspoon    vanilla', '1 (8   ounce) package   cream cheese, softened ', '1 (28   ounce) can   cherry pie filling']","['Prepare a 9 x 9&quot; baking pan.', 'In a bowl, mix the graham cracker crumbs, melted butter and 1 tbsp sugar; spread on bottom of prepared baking pan to form a crust.', 'Mix the Dream Whip topping according to directions on the package, then beat in the softened cream cheese into the Dream Whip a little at a time.', 'Add the remaining sugar and vanilla until well blended.', 'Smooth on top of the crust.', 'Top with the cherry pie filling.', 'Chill at least 3 hours (overnight is even better) if storing in the fridge overnight, cover with plastic wrap.']"
Mexican Wedding Cookies,"['1   cup    butter, softened ', '1   cup    powdered sugar', '2   cups    flour, sifted ', '1   cup    nuts, ground ', '1   teaspoon    vanilla']","['Combine all ingredients.', 'Form into 1 1/2&quot; balls.', 'Bake on cookie sheet at 350&deg;F for about 10-15 minutes or until set.', 'Roll in additional powdered sugar while still warm.']"
Crock-Pot Chicken With Black Beans &amp; Cream Cheese,"['4 -5       boneless chicken breasts, frozen ', '1 (15 1/2  ounce) can   black beans', '1 (15   ounce) can   corn', '1 (15   ounce) jar   salsa, any kind ', '1 (8   ounce) package   cream cheese']","['Take 4-5 frozen, yes, frozen, boneless chicken breasts put into crock pot.', 'Add 1 can of black beans, drained, 1 jar of salsa, 1 can of corn drained.', 'Keep in crock pot on high for about 4-5 hours or until chicken is cooked.', 'Add 1 package of cream cheese (just throw it on top!) and let sit for about 1/2 hour.', 'All done and enjoy!']"
Seafood Chowder,"['1/2  cup    butter', '1   stalk    celery, minced ', '1   small    onion, minced ', '1/4  teaspoon    cayenne pepper', '1/4  teaspoon    dried thyme', '1/4  teaspoon    dried marjoram', '3   tablespoons    flour (I use buttermilk baking mix) or 3   tablespoons    baking mix (I use buttermilk baking mix)', '3 1/2  cups    milk (or more if you like a thinner soup More milk can be added as needed after soup is completed.)', '2 (10 1/2  ounce) cans   condensed cream of potato soup (undiluted)', '1 1/2  lbs    clams (whatever you want your soup to be I like to use shrimp, scallops and whole baby clams.) or 1 1/2  lbs    crab (whatever you want your soup to be I like to use shrimp, scallops and whole baby clams.)', ' chopped fresh parsley (to garnish)']","['Melt butter in 3-quart saucepan over low heat.', ""Saute' celery and onion until tender."", 'Add cayenne pepper, thyme, marjoram and flour or baking mix and stir until smooth.', 'Add milk and condensed soup and stir until piping hot.', 'Meanwhile clean and chop seafood as you like.', 'I usually halve the shrimp and then cut one half in half and leave the other half whole.', 'If using extra large scallops I usually quarter them.', 'When soup is piping hot add seafood and stir on medium heat until seafood is cooked through.', 'Serve in bowls topped with some fresh parsley along with some crusty bread or oyster crackers and a nice salad.']"
Pico de Gallo,"['4      ripe plum tomatoes, seeded and finely chopped ', '1   small    white onion, finely chopped ', '1/2  cup    cilantro leaf, chopped  (or more to taste!)', '2 -3       jalapeno peppers, seeded and finely chopped ', '1   tablespoon    lime juice', '  salt']","['Combine all ingredients; cover and refrigerate for at least an hour.', ""This tastes best the same day that it's made, but is okay the next day.""]"
Curry Chicken,"['1/4  cup    butter', '1/2  cup    honey', '2   tablespoons    curry powder', '1/4  cup    Dijon mustard', '4 -6       boneless skinless chicken breasts']","['preheat oven to 350.', 'heat butter, honey, dijon mustard, and curry together in a pan.', 'place chicken in a baking dish and pour sauce over chicken.', 'bake for 50-55 mins.']"
I Lost My Noodles! Low Carb/South Beach Eggplant Lasagna,"['2   large    eggplants, peeled, sliced lengthwise into 1/4 inch noodle-like strips ', '  cooking spray (olive oil spray is best)', '  salt and pepper', '1 1/2  lbs    turkey breast or 1 1/2  lbs    Italian sausage', '2   tablespoons    olive oil', '2       onions, chopped ', '3      cloves chopped garlic', '1       red pepper, chopped ', '1 (16   ounce) package   sliced mushrooms', '2   tablespoons    italian seasoning (or mix of oregano, basil and thyme)', '1   teaspoon    fennel seed (optional)', '  salt and pepper', '1   teaspoon    red pepper flakes (if you dare!) (optional)', '1 (10   ounce) package   frozen chopped spinach', '1   cup    red wine (optional) or 1   cup    vodka (optional)', '1 (28   ounce) can   tomato sauce (or large jar sugar free sauce if you can find it)', '1 (15   ounce) can   diced tomatoes (for less sugar, 3 chopped roma tomatoes)', '2   cups    low-fat ricotta cheese', '2       eggs', '3       green onions, chopped ', '3   cups   shredded lowfat mozzarella cheese', '1/2  cup    parmesan cheese']","['Preheat oven to 425 degrees.', 'Spray cookie sheet, arrange eggplant slices and season with salt and pepper.', 'Cook slices 5 minutes on each side.', 'Lower oven temp to 375.', 'Brown meat, onion and garlic in olive oil for 5 minutes.', 'Add red pepper and mushrooms, and cook 5 minutes.', 'Add spinach, tomatoes, tomato sauce, spices and wine and simmer for 5-10 minutes.', 'Blend ricotta, egg and Green onion.', 'Blend together Mozzarella and Parmesan Cheese.', 'Spread 1/3 of meat sauce in bottom of 9&rdquo; x 13&rdquo; glass pan.', 'Layer &frac12; eggplant slices', 'Dollop and Spread &frac12; ricotta', 'Layer 1/3 mozzarella/parmesan mixture.', 'REPEAT', 'Add last layer of sauce, then mozzarella/parmesan mixture on top.', 'Cover with foil and bake at 375 degrees for 1 hour.', 'Remove foil and bake or broil another 5-10 minutes until cheese is browned.', 'Let it rest 10 minutes before slicing, if you can wait that long!']"
Authentic Mrs. Fields Chocolate Chip Cookies,"['2   cups    butter', '2   cups    sugar', '2   cups   packed brown sugar', '4   large    eggs', '2   tablespoons    vanilla', '4   cups    flour', '5   cups    oatmeal (put in blender and make into flour)', '1   teaspoon    salt', '4   teaspoons    baking powder', '4   teaspoons    baking soda', '2 (12   ounce) bags   chocolate chips', '8   ounces    Hershey Bars, grated ', '3   cups    nuts, any kind of nuts  (optional)']","['Cream together butter, sugar and brown sugar.', 'Add eggs and vanilla and mix well.', 'Mix together flour, oat flour, salt, baking powder and baking soda.', 'Stir in chocolate chips, grated Hershey bar and nuts (if using).', 'Drop by 1 1/2&quot; balls onto ungreased cookie sheet.', 'Bake at 375&deg; for 6-10 minutes.', 'NOTE: If you want your cookies to spread out a bit more, flatten them a bit before baking.', 'Cookies will be soft but will firm up a bit after cooling.']"
Signature Peach Pie,"['  pastry for double-crust pie (your own or Pillsbury pie crusts)', '1/2  cup    brown sugar', '1/2  cup    white sugar', '1/4  cup    cornstarch', '3/4  teaspoon    ginger', '1/2  teaspoon    cinnamon', '1 1/4  teaspoons    vanilla', '5       peaches, peeled and sliced ', '2   tablespoons    lemon juice']","['Preheat oven to 400-degrees F.', 'Prepare pastry or use pre-packages pastry and put bottom crust in a 9-inch pie pan.', 'In a large skillet combine sugars, cornstarch, ginger, cinnamon and vanilla.', 'Fold in peaches and simmer for 5 minutes or until filling thickens slightly.', 'Remove from heat and stir in lemon juice.', 'Spoon filling into prepared pie pan.', 'Fit top crust on top of filling.', 'Crimp and seal edges.', 'Cut slits in dough on top of pie.', 'Place pie on baking sheet and cover loosely with foil.', 'Bake for 15 minutes, remove foil and bake for 45 more minutes or until crust is brown and filling is bubbly.']"
Shish Kabob Marinade,"['1/2  cup    soy sauce', '1/2  cup    ketchup', '1/2  cup    sugar', '1   teaspoon    ginger', '1   teaspoon    garlic powder']","['Mix all ingredients together.', 'Add meat (chicken, pork, beef or venison) and vegetables (cut into bite size pieces) (I use green pepper, onion, mushrooms and cherry tomatoes).', 'Marintate in refrigerator for at least a couple hours.', 'Thread onto skewers and grill.']"
Slow-Cooker Cheesy Chicken,"['2   lbs    boneless skinless chicken breasts', '2 (10 1/2  ounce) cans   condensed cream of chicken soup', '1 (10 1/2  ounce) can   condensed cheddar cheese soup', '1/4  teaspoon    garlic powder', '  salt and pepper (optional)']","['Place chicken breasts in the crock pot.', 'Mix the undiluted soups together with the garlic powder and pour over chicken.', 'Cover and cook on low 6-8 hours , until chicken is tender.', 'Serve with the delicious sauce over rice or noodles.']"
Memphis Style Baby Back Ribs,"['4   teaspoons    paprika', '2   teaspoons    salt', '2   teaspoons    onion powder', '2   teaspoons    fresh ground black pepper', '1   teaspoon    cayenne pepper', '4 -5   lbs    baby back ribs', '1 -2   cup    barbecue sauce (I use Memphis Barbecue Sauce recipe 99023)']","['Wash the ribs and pat dry with paper towels.', 'Place each slab of ribs on a sheet of heavy duty aluminum foil and rub well with rib rub.', 'Seal the foil and place in refrigerator for 4 to 6 hours.', 'Remove from refrigerator and place sealed packed in a 275 degree preheated oven.', 'Cook for 3 to 4 hours or until tender.', 'Baste both sides of ribs with Memphis Barbecue Sauce recipe 99023 and grill 5 to 7 minutes per side.', 'Serve with extra sauce and lots of paper towels.']"
Low Carb Breakfast Balls,"['2   lbs    bulk pork sausage', '1   lb    ground beef', '3       eggs', '2   tablespoons    dried onion flakes', '1/2  teaspoon    black pepper', '1/2  lb    sharp cheddar cheese, shredded ']","['Mix all the ingredients together until thoroughly blended (it is best to use your hands or an electric mixer).', 'Form into about 4 dozen 1 to 1 1/2 inch balls and place on a cookie sheet or broiler pan.', 'Bake at 375&deg;F for about 25 minutes.', 'Once they are cool, they can be sorted into individual zip bags and frozen for a grab-and-go breakfast.', 'NOTE: for Scotch Eggs, mold a bit of the raw meat mixture around a peeled hard-boiled egg (or eggs) and bake at 350&deg;F for 30 minutes.']"
Kittencal's Moist Cheddar-Garlic Oven Fried Chicken Breast,"['1/3  cup    butter, melted ', '2   tablespoons   minced garlic (can use more or less)', '2   teaspoons    garlic powder, divided  (garlic lovers can use more)', '1/2  teaspoon    seasoning salt (or can use white salt)', '3/4  cup    seasoned dry bread crumb (seasoned or plain)', '1/2  cup   finely grated cheddar cheese', '1/4  cup   freshly grated parmesan cheese', '1/2  teaspoon    ground black pepper (or to taste)', '4       boneless skinless chicken breasts', '  shredded cheddar cheese (optional and use any amount desired, or can use shredded mozzarella cheese)']","['Preheat oven to 350&deg;F.', 'Butter an 11 x 7-inch pan (if using more than 4 breasts use a larger pan).', 'In a bowl, combine melted butter with fresh minced garlic, 1 teaspoon garlic powder and salt.', 'In another bowl, combine the dry breadcrumbs with 1/2 cup finely grated cheddar cheese, Parmesan cheese 1 teaspoon garlic powder and coarse ground black pepper.', 'Dip chicken in butter mixture; then in crumb mixture.', 'Place in prepared pan and bake uncovered for 35-45 minutes or until cooked through, larger breasts may take more time (placing the chicken on a rack in a pan will produce an extra crispy crust).', 'Top with shredded cheddar or mozzarella the last 5 minutes of cooking (this is only optional.']"
Wonderful Parmesan Zucchini Strips,"['1/3  cup    seasoned bread crumbs', '1/4  cup    parmesan cheese, grated ', '4   small    zucchini, quartered lengthwise ', '1       egg, beaten  (or egg substitute)']","['Preheat oven to 450 degrees.', 'In a bowl, combine bread crumbs and cheese topping.', 'Dip zucchini strips into egg, then into crumb mixture.', 'Place on baking sheet coated with nonstick cooking spray.', 'Bake at 450 degrees for 20-25 minutes or until golden brown and tender.']"
The Best Easy Beef and Broccoli Stir-Fry,"['3   tablespoons    cornstarch, divided ', '1/2  cup    water, plus ', '2   tablespoons    water, divided ', '1/2  teaspoon    garlic powder', '1   lb    boneless round steak or 1   lb   charcoal chuck steak, cut into thin 3-inch strips ', '2   tablespoons    vegetable oil, divided ', '4   cups    broccoli florets', '1   small    onion, cut into wedges ', '1/3  cup    reduced sodium soy sauce', '2   tablespoons    brown sugar', '1   teaspoon    ground ginger', ' hot cooked rice, for serving ', '  toasted sesame seeds, for serving  (optional)']","['In a bowl, combine 2 tablespoons cornstarch, 2 tablespoons water and garlic powder until smooth.', 'Add beef and toss.', 'In a large skillet or wok over medium-high heat, stir-fry beef in 1 tablespoon oil until beef reaches desired doneness; remove and keep warm.', 'Stir-fry onion in remaining oil for 4-5 minutes until softened. Add the broccoli and cook for 3 minutes until the broccoli is tender but still crisp. Return beef to pan.', 'Combine soy sauce, brown sugar, ginger and remaining 1 tablespoon cornstarch and 1/2 cup water until smooth; add to the pan.', 'Cook and stir for 2 minutes.', 'Serve over rice and garnish with toasted sesame seeds (optional).']"
Omlet Casserole in a Crock Pot,"['26   ounces    frozen hash brown potatoes', '1   lb    sausage, cooked and crumbled ', '2   cups    mozzarella cheese, shredded ', '1/2  cup    parmesan cheese, shredded ', '1/2  cup    sun-dried tomato, julienne cut ', '6       green onions, sliced ', '12       eggs', '1/2  cup    milk (or half and half)', '  salt and pepper, to taste ', '1   pinch    cayenne pepper']","['Spray a 6 quart slow cooker with cooking spray or use a slow cooker liner (reynolds makes these) Layer 1/2 of the potatoes on the bottom of slow cooker, half of the sausage, 1/2 the mozzarella and Parmesan cheese, 1/2 the sun dried tomatoes and green onion. Repeat with the remaining half of the same ingredients.', 'Beat eggs, milk, salt and pepper and cayenne in large bowl with a wire whisk until well blended.', 'Pour evenly over potato-sausage mixture.Cook on low setting for 8 hours or on high setting for 4 hours or until eggs are set.']"
Cronut -- Pillsbury Salted Caramel Crescent Doughnuts,"['2   cups    vegetable oil', '1 (8   ounce) can   Pillsbury Refrigerated Crescent Dinner Rolls', '1      snack-size container vanilla pudding (4 oz)', '2   tablespoons    caramel sauce', '1/4  teaspoon    kosher salt (coarse)', '1/2  cup    powdered sugar', '  milk', ' additional caramel sauce, if desired ']","['In deep fryer or 2-quart heavy saucepan, heat oil over medium heat to 325&deg;F', 'Separate crescent dough into 4 rectangles. Firmly press perforations to seal. Stack 2 rectangles on top of one another. Fold in half widthwise to make tall stack. Repeat with remaining 2 rectangles.', 'To make 2 doughnuts, use 3-inch biscuit cutter to cut 1 round from each stack; use 1/2-inch biscuit cutter to cut small hole in center of each round. Reroll remaining dough to cut third doughnut.', 'Fry doughnuts in hot oil 2 1/2 minutes on each side or until deep golden brown and cooked through. Drain on paper towels. Cool 5 minutes.', 'Carefully split doughnuts in half. Place pudding in decorating bag fitted with tip, and pipe half of the pudding onto bottom half of each doughnut.', 'Top each with some of the caramel sauce; sprinkle with salt. Cover each with top of doughnut. In small bowl, mix powdered sugar and enough milk for spreading consistency. Spread on tops of doughnuts. Drizzle with additional caramel sauce.']"
Creamy Jalapeno Dip,"['2 (8   ounce) packages   cream cheese, room temperature ', '1   cup    mayonnaise', '1   cup    Mexican blend cheese, shredded  (half Monterrey jack or half Cheddar)', '1/2  cup    parmesan cheese', '1 (4   ounce) can   green chilies, chopped ', '1 (4   ounce) can   jalapenos, diced ', '1   cup    panko breadcrumbs', '1/2  cup    parmesan cheese', '1/4  cup    butter, melted ']","['Combine the first 6 ingredients in a mixer or food processor and blend until smooth.', 'No need to drain the cans of chillies or jalapenos, it is a personal option. Spread the dip into a greased casserole dish.', 'In a bowl, combine the panko breadcrumbs, the additional 1/2 c Parmesan cheese and melted butter. Sprinkle crumb mixture evenly over the dip and bake in a preheated 375 degree oven for about 20 minutes until the top is browned and its bubbling around the edges.']"
Bananas Foster Ice Cream Cake,"['1 (18 1/4  ounce) package   butter recipe cake mix (I used Duncan Hines Classic Butter Golden Cake Mix)', '3       eggs, large ', '1/2  cup    butter, softened ', '1/2  cup    water', '1/2  cup    pecans, chopped  (toasted)', '1/2  gallon    vanilla ice cream, softened ', '3       bananas (under-ripe, peeled and cut into 1/4-inch slices)', '2   tablespoons    butter', ""1 (12 1/4  ounce) jar   caramel ice cream topping (I used Smucker's)"", '1/2  teaspoon    cinnamon, ground ']","['Preheat oven to 350&deg;F  Spray two 8-inch round cake tins with cooking oil.  Flour lightly.', 'In a medium mixing bowl, mix together cake mix, water, 1/2 cup softened butter and eggs at low speed.  Then beat at medium speed for 4 minutes.  Pour batter evenly into pans and bake for 22-25 minutes or until a toothpick inserted into the center of each cake comes out clean.  Cool in pan on wire rack for 30 minutes.  Then place cakes in the freezer until ready to assemble.', 'Toast chopped pecans on a baking sheet in the oven for 8-10 minutes or until fragrant and lightly browned.  Set aside to cool.', 'Pour caramel ice cream topping into a small bowl.  Add 1/2 teaspoons cinnamon and whisk until fully incorporated.  Set aside.  Reserve remaining caramel sauce for drizzling the cake later.', 'In a large skillet over medium-high heat, melt 2 tbs. butter.  Once the butter begins to bubble slightly, add sliced bananas.  Saute for 2 minutes.  Then add half of the caramel sauce mixture, stir until bubbling, remove from heat and set aside to cool for 15 minutes.  Refrigerate until ready to place atop the cake.', 'To assemble, place one cake layer onto a cake plate.  Top with half the ice cream, making sure to leave at least 1/4 inch of space around the edge of the cake (to allow for melting and settling).  Sprinkle with toasted pecans and drizzle with reserved caramel sauce.', 'Return both ice-cream-topped cake and ice cream carton to freezer for 30 minutes.  Then add second layer of cake, top with ice cream and sprinkle with pecans.', 'To finish off, place bananas in a mound atop the cake.  Drizzle around the edges of the cake with remaining caramel sauce and sprinkle with remaining pecans.', 'Freeze for 2-4 hours or until ready to serve.  If the cake is frozen-hard, allow to sit at room temperature for 5-8 minutes or until softened to your liking.', 'Freeze any remaining cake.']"
